score,hla,n_pep,macro,mx,var,n_ge_best,p_max,p_max_bh
pgen_a,A*02:01,10,0.5007953216374269,0.5314619883040935,0.0001684369207619436,0,0.24687656171914044,0.42611570926865333
kf6_sum_ab,B*40:01,10,0.5009356725146199,0.5307602339181287,0.0003212065250846416,0,0.29035482258870565,0.46309756514147987
kf1_mean_a,B*40:01,10,0.5009122807017543,0.5300584795321638,0.0002724853459184026,0,0.27786106946526734,0.45468175003407385
kf2_sum_ab,A*02:01,10,0.5010058479532163,0.5300584795321638,0.0003499612188365656,0,0.26686656671664166,0.4474078750098635
len_ab,B*40:01,10,0.5010694111237666,0.5298913951545531,0.00030410996947965953,0,0.2698650674662669,0.4474078750098635
kf3_sum_a,A*02:01,10,0.50106432748538,0.5298245614035088,0.0003521341951369653,0,0.30884557721139433,0.4696085692093713
kf9_mean_b,A*02:01,10,0.50046783625731,0.5295906432748538,0.0002468342395950892,0,0.28585707146426786,0.4617691154422789
kf_PC2,B*40:01,10,0.5004444444444445,0.5295906432748538,0.00022287828733627465,0,0.30934532733633185,0.4696085692093713
kf7_mean_a,A*02:01,10,0.5007017543859649,0.5295906432748538,0.00026384049793098756,0,0.2943528235882059,0.4636056971514243
kf9_mean_a,B*40:01,10,0.500608187134503,0.5291228070175439,0.00016643425327451204,0,0.30934532733633185,0.4696085692093713
kf3_mean_a,A*02:01,10,0.5012865497076024,0.528187134502924,0.00032961116240894615,0,0.36931534232883556,0.5348704957865894
kf10_sum_b,B*40:01,10,0.5003976608187134,0.528187134502924,0.00014321863137375606,0,0.3613193403298351,0.529374847459991
kf7_mean_a,B*40:01,10,0.5012163742690059,0.527953216374269,0.00029646099654594545,0,0.35282358820589704,0.5237498897610018
kf1_sum_b,B*40:01,10,0.5003040935672514,0.527719298245614,0.00020204014910570772,0,0.35332333833083457,0.5237498897610018
kf3_sum_b,B*40:01,10,0.5004678362573098,0.5273684210526316,0.0002566478574604151,0,0.40379810094952523,0.5667166416791604
kf5_sum_b,B*40:01,10,0.50046783625731,0.5272514619883041,0.0001803303580588897,0,0.391304347826087,0.5602766798418973
kf3_mean_a,B*40:01,10,0.5007017543859649,0.5267836257309941,0.0003259231900413802,0,0.4047976011994003,0.5667166416791604
