cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
vdjdb_hq,B,30,1.0,1,83,83,1,9.519365033645999,7.539809805968872,12.018646753140153
vdjdb_hq,B,30,1.0,2,83,83,0,11.401608246784342,8.925484530622356,14.56466258690342
vdjdb_hq,B,30,1.0,3,83,83,0,6.824345013440406,5.55469905518751,8.384195867276704
vdjdb_hq,B,50,0.0,1,61,60,0,65.55824918233138,45.80170237554738,93.83677490003534
vdjdb_hq,B,50,0.0,2,61,61,0,21.422635316259687,15.941185478946418,28.78890685385766
vdjdb_hq,B,50,0.0,3,61,61,0,7.853855807186648,6.216974839237737,9.921714762423326
vdjdb_hq,B,50,0.1,1,61,61,0,37.26158252741015,26.988991348475913,51.444143077447855
vdjdb_hq,B,50,0.1,2,61,61,0,19.932343636094355,14.952567984277641,26.570574582580278
vdjdb_hq,B,50,0.1,3,61,61,0,7.76343233254399,6.15262180397701,9.795967231893036
vdjdb_hq,B,50,0.5,1,61,61,0,18.052919618264244,13.651948457021053,23.8726294469636
vdjdb_hq,B,50,0.5,2,61,61,0,16.208745214736805,12.350404317134553,21.272455110782026
vdjdb_hq,B,50,0.5,3,61,61,0,7.440308261809658,5.919050003873317,9.352545931277433
vdjdb_hq,B,50,1.0,1,61,61,0,11.855920156105286,9.128406413970922,15.398398841315146
vdjdb_hq,B,50,1.0,2,61,61,0,13.566671944085787,10.431239797584645,17.644555317486066
vdjdb_hq,B,50,1.0,3,61,61,0,7.101513903601588,5.66916075582768,8.895761100301312
tcrvdb_true,A,10,0.0,1,2,0,0,,,
tcrvdb_true,A,10,0.0,2,2,2,0,439.91931430198133,438.62831533668054,441.2141130181648
tcrvdb_true,A,10,0.0,3,2,2,0,115.64148370579431,80.96661090811747,165.16626549743307
tcrvdb_true,A,10,0.1,1,2,2,0,817.4050403563707,390.8655452800335,1709.41390989402
tcrvdb_true,A,10,0.1,2,2,2,0,366.1607257301782,298.5571738260709,449.0720331689551
tcrvdb_true,A,10,0.1,3,2,2,0,111.81480490663249,75.23262005368183,166.1852343755562
tcrvdb_true,A,10,0.5,1,2,2,0,164.33806619283305,78.87240867588497,342.4137851676552
tcrvdb_true,A,10,0.5,2,2,2,0,227.0992311192905,121.31392818795386,425.1289323932228
tcrvdb_true,A,10,0.5,3,2,2,0,99.07926819412509,58.19872969166809,168.67552673213694
tcrvdb_true,A,10,1.0,1,2,2,0,82.70429251254131,39.87381488295708,171.54114849752088
tcrvdb_true,A,10,1.0,2,2,2,0,157.1993180183562,67.01154473465937,368.7666906245047
tcrvdb_true,A,10,1.0,3,2,2,0,87.17417439226467,44.89955075163118,169.2519536110702
tcrvdb_true,A,20,0.0,1,2,0,0,,,
tcrvdb_true,A,20,0.0,2,2,2,0,439.91931430198133,438.62831533668054,441.2141130181648
tcrvdb_true,A,20,0.0,3,2,2,0,115.64148370579431,80.96661090811747,165.16626549743307
tcrvdb_true,A,20,0.1,1,2,2,0,817.4050403563707,390.8655452800335,1709.41390989402
tcrvdb_true,A,20,0.1,2,2,2,0,366.1607257301782,298.5571738260709,449.0720331689551
